pid,label,description,page_type,collection,approx_date,african_names,location,original_file
ac0,RecaptiveImage1,US image of African recaptives,1800s image,online source,1850,none,"Florida, USA",RescuedAfricansWildfire
ac1,CaribbeanMap1,overview Caribbean map showing Bahamas location,modern map,online source,2000,none,Caribbean,Bahamas&Caribbean
ac2,BahamasMap1,overview Bahamas map,modern map,online source,2000,none,Bahamas,goodbahamasmap
ac3,NewProvidenceMap1,island of New Providence,modern map,online source,2000,none,"New Providence, Bahamas",Bahamas-New-Providence
ac4,AdelaideMarker1,stone marker at entrance to Adelaide village,modern photo,online source,2000,none,"New Providence, Bahamas",AdelaideMarker1
ac5,AdelaideModernHouse1,early 2000s house in Adelaide,modern photo,online source,2000,none,"New Providence, Bahamas",AdelaideRes1
ac6,AdelaideModernHouse2,early 2000s house in Adelaide,modern photo,online source,2000,none,"New Providence, Bahamas",AdelaideRes2
ac7,StJamesChurch1,early 2000s Anglican church sign in Adelaide,modern photo,online source,2000,none,"New Providence, Bahamas",StJamesSign
ac8,CarmichaelModernHouse1,early 2000s house in Carmichael,modern photo,online source,2000,none,"New Providence, Bahamas",CarmichaelResidential1
ac9,CarmichaelModernHouse2,early 2000 house in carmichael,modern photo,online source,2000,none,"New Providence, Bahamas",CarmichaelResidential2
ac10,CarmichaelShops1,early 2000s Carmichael shopping plaza,modern photo,online source,2000,none,"New Providence, Bahamas",SouthwestPlaza1
ac11,CarmichaelShops2,early 2000s Carmicheal shopping plaza,modern photo,online source,2000,none,"New Providence, Bahamas",SouthwestPlaza2
ac12,AdelaideBeach1,early 2000s Adelaide beach,modern photo,online source,2000,none,"New Providence, Bahamas",MinTourism--AdelaidePage2
ac13,AdelaideTourism1,early 2000s online tourist promotion of Adelaide,modern photo,online source,2000,none,"New Providence, Bahamas",MinTourism--AdelaidePage
ac14,StJamesRegister1,archive box StJames Register,archive cover page,Anglican Dioeces Records at Bahamas National Archives,1840,none,"New Providence, Bahamas",IMG_4093
ac15,StJamesRegister2,book cover StJames register,archive cover page,Anglican Dioeces Records at Bahamas National Archives,1840,none,"New Providence, Bahamas",IMG_4096
ac16,StJamesRegister3,book spine StJames register,archive cover page,Anglican Dioeces Records at Bahamas National Archives,1840,none,"New Providence, Bahamas",IMG_4098
ac17,StJamesRegister4,inside blank opening page,archive cover page,Anglican Dioeces Records at Bahamas National Archives,1840,none,"New Providence, Bahamas",IMG_4100
ac18,StJamesRegister5,inside blank baptism page,archive cover page,Anglican Dioeces Records at Bahamas National Archives,1840,none,"New Providence, Bahamas",IMG_4101
ac19,StJamesRegister6,inside title page1,archive cover page,Anglican Dioeces Records at Bahamas National Archives,1840,none,"New Providence, Bahamas",IMG_4102
ac20,StJamesRegister7,inside title page2,archive cover page,Anglican Dioeces Records at Bahamas National Archives,1840,none,"New Providence, Bahamas",IMG_4103
ac21,StJamesRegister8,marriage banns page,marriage record,Anglican Dioeces Records at Bahamas National Archives,1840,"Daniel Smith, Maria Hudson, Friday Seaton","New Providence, Bahamas",IMG_4105
ac22,StJamesRegister9,marriage banns page,marriage record,Anglican Dioeces Records at Bahamas National Archives,1840,"Thomas Hopkins, Eliza Styles","New Providence, Bahamas",IMG_4106
