pid,label,description,page_type,collection,approx_date,african_names,location,original_file,order,layout,thumbnail,manifest,full
ac0,RecaptiveImage1,US image of African recaptives,1800s image,StJames,1850,none,"Florida, USA",RescuedAfricansWildfire,00,StJames_item,"/img/derivatives/iiif/images/ac0/full/250,/0/default.jpg",/img/derivatives/iiif/ac0/manifest.json,"/img/derivatives/iiif/images/ac0/full/1140,/0/default.jpg"
ac1,CaribbeanMap1,overview Caribbean map showing Bahamas location,modern map,StJames,2000,none,Caribbean,Bahamas&Caribbean,01,StJames_item,"/img/derivatives/iiif/images/ac1/full/250,/0/default.jpg",/img/derivatives/iiif/ac1/manifest.json,"/img/derivatives/iiif/images/ac1/full/1140,/0/default.jpg"
ac2,BahamasMap1,overview Bahamas map,modern map,StJames,2000,none,Bahamas,goodbahamasmap,02,StJames_item,"/img/derivatives/iiif/images/ac2/full/250,/0/default.jpg",/img/derivatives/iiif/ac2/manifest.json,"/img/derivatives/iiif/images/ac2/full/1140,/0/default.jpg"
ac3,NewProvidenceMap1,island of New Providence,modern map,StJames,2000,none,"New Providence, Bahamas",Bahamas-New-Providence,03,StJames_item,"/img/derivatives/iiif/images/ac3/full/250,/0/default.jpg",/img/derivatives/iiif/ac3/manifest.json,"/img/derivatives/iiif/images/ac3/full/1140,/0/default.jpg"
ac4,AdelaideMarker1,stone marker at entrance to Adelaide village,modern photo,StJames,2000,none,"New Providence, Bahamas",AdelaideMarker1,04,StJames_item,"/img/derivatives/iiif/images/ac4/full/250,/0/default.jpg",/img/derivatives/iiif/ac4/manifest.json,"/img/derivatives/iiif/images/ac4/full/1140,/0/default.jpg"
ac5,AdelaideModernHouse1,early 2000s house in Adelaide,modern photo,StJames,2000,none,"New Providence, Bahamas",AdelaideRes1,05,StJames_item,"/img/derivatives/iiif/images/ac5/full/250,/0/default.jpg",/img/derivatives/iiif/ac5/manifest.json,"/img/derivatives/iiif/images/ac5/full/1140,/0/default.jpg"
ac6,AdelaideModernHouse2,early 2000s house in Adelaide,modern photo,StJames,2000,none,"New Providence, Bahamas",AdelaideRes2,06,StJames_item,"/img/derivatives/iiif/images/ac6/full/250,/0/default.jpg",/img/derivatives/iiif/ac6/manifest.json,"/img/derivatives/iiif/images/ac6/full/1140,/0/default.jpg"
ac7,StJamesChurch1,early 2000s Anglican church sign in Adelaide,modern photo,StJames,2000,none,"New Providence, Bahamas",StJamesSign,07,StJames_item,"/img/derivatives/iiif/images/ac7/full/250,/0/default.jpg",/img/derivatives/iiif/ac7/manifest.json,"/img/derivatives/iiif/images/ac7/full/1140,/0/default.jpg"
ac8,CarmichaelModernHouse1,early 2000s house in Carmichael,modern photo,StJames,2000,none,"New Providence, Bahamas",CarmichaelResidential1,08,StJames_item,"/img/derivatives/iiif/images/ac8/full/250,/0/default.jpg",/img/derivatives/iiif/ac8/manifest.json,"/img/derivatives/iiif/images/ac8/full/1140,/0/default.jpg"
ac9,CarmichaelModernHouse2,early 2000 house in carmichael,modern photo,StJames,2000,none,"New Providence, Bahamas",CarmichaelResidential2,09,StJames_item,"/img/derivatives/iiif/images/ac9/full/250,/0/default.jpg",/img/derivatives/iiif/ac9/manifest.json,"/img/derivatives/iiif/images/ac9/full/1140,/0/default.jpg"
ac10,CarmichaelShops1,early 2000s Carmichael shopping plaza,modern photo,StJames,2000,none,"New Providence, Bahamas",SouthwestPlaza1,10,StJames_item,"/img/derivatives/iiif/images/ac10/full/250,/0/default.jpg",/img/derivatives/iiif/ac10/manifest.json,"/img/derivatives/iiif/images/ac10/full/1140,/0/default.jpg"
ac11,CarmichaelShops2,early 2000s Carmicheal shopping plaza,modern photo,StJames,2000,none,"New Providence, Bahamas",SouthwestPlaza2,11,StJames_item,"/img/derivatives/iiif/images/ac11/full/250,/0/default.jpg",/img/derivatives/iiif/ac11/manifest.json,"/img/derivatives/iiif/images/ac11/full/1140,/0/default.jpg"
ac12,AdelaideBeach1,early 2000s Adelaide beach,modern photo,StJames,2000,none,"New Providence, Bahamas",MinTourism--AdelaidePage2,12,StJames_item,"/img/derivatives/iiif/images/ac12/full/250,/0/default.jpg",/img/derivatives/iiif/ac12/manifest.json,"/img/derivatives/iiif/images/ac12/full/1140,/0/default.jpg"
ac13,AdelaideTourism1,early 2000s online tourist promotion of Adelaide,modern photo,StJames,2000,none,"New Providence, Bahamas",MinTourism--AdelaidePage,13,StJames_item,"/img/derivatives/iiif/images/ac13/full/250,/0/default.jpg",/img/derivatives/iiif/ac13/manifest.json,"/img/derivatives/iiif/images/ac13/full/1140,/0/default.jpg"
ac14,StJamesRegister1,archive box StJames Register,archive cover page,StJames,1840,none,"New Providence, Bahamas",IMG_4093,14,StJames_item,"/img/derivatives/iiif/images/ac14/full/250,/0/default.jpg",/img/derivatives/iiif/ac14/manifest.json,"/img/derivatives/iiif/images/ac14/full/1140,/0/default.jpg"
ac15,StJamesRegister2,book cover StJames register,archive cover page,StJames,1840,none,"New Providence, Bahamas",IMG_4096,15,StJames_item,"/img/derivatives/iiif/images/ac15/full/250,/0/default.jpg",/img/derivatives/iiif/ac15/manifest.json,"/img/derivatives/iiif/images/ac15/full/1140,/0/default.jpg"
ac16,StJamesRegister3,book spine StJames register,archive cover page,StJames,1840,none,"New Providence, Bahamas",IMG_4098,16,StJames_item,"/img/derivatives/iiif/images/ac16/full/250,/0/default.jpg",/img/derivatives/iiif/ac16/manifest.json,"/img/derivatives/iiif/images/ac16/full/1140,/0/default.jpg"
ac17,StJamesRegister4,inside blank opening page,archive cover page,StJames,1840,none,"New Providence, Bahamas",IMG_4100,17,StJames_item,"/img/derivatives/iiif/images/ac17/full/250,/0/default.jpg",/img/derivatives/iiif/ac17/manifest.json,"/img/derivatives/iiif/images/ac17/full/1140,/0/default.jpg"
ac18,StJamesRegister5,inside blank baptism page,archive cover page,StJames,1840,none,"New Providence, Bahamas",IMG_4101,18,StJames_item,"/img/derivatives/iiif/images/ac18/full/250,/0/default.jpg",/img/derivatives/iiif/ac18/manifest.json,"/img/derivatives/iiif/images/ac18/full/1140,/0/default.jpg"
ac19,StJamesRegister6,inside title page1,archive cover page,StJames,1840,none,"New Providence, Bahamas",IMG_4102,19,StJames_item,"/img/derivatives/iiif/images/ac19/full/250,/0/default.jpg",/img/derivatives/iiif/ac19/manifest.json,"/img/derivatives/iiif/images/ac19/full/1140,/0/default.jpg"
ac20,StJamesRegister7,inside title page2,archive cover page,StJames,1840,none,"New Providence, Bahamas",IMG_4103,20,StJames_item,"/img/derivatives/iiif/images/ac20/full/250,/0/default.jpg",/img/derivatives/iiif/ac20/manifest.json,"/img/derivatives/iiif/images/ac20/full/1140,/0/default.jpg"
ac21,StJamesRegister8,marriage banns page,marriage record,StJames,1840,"Daniel Smith, Maria Hudson, Friday Seaton","New Providence, Bahamas",IMG_4105,21,StJames_item,"/img/derivatives/iiif/images/ac21/full/250,/0/default.jpg",/img/derivatives/iiif/ac21/manifest.json,"/img/derivatives/iiif/images/ac21/full/1140,/0/default.jpg"
ac22,StJamesRegister9,marriage banns page,marriage record,StJames,1840,"Thomas Hopkins, Eliza Styles","New Providence, Bahamas",IMG_4106,22,StJames_item,"/img/derivatives/iiif/images/ac22/full/250,/0/default.jpg",/img/derivatives/iiif/ac22/manifest.json,"/img/derivatives/iiif/images/ac22/full/1140,/0/default.jpg"
ac23,StJamesRegister10,marriage banns page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4107,23,StJames_item,"/img/derivatives/iiif/images/ac23/full/250,/0/default.jpg",/img/derivatives/iiif/ac23/manifest.json,"/img/derivatives/iiif/images/ac23/full/1140,/0/default.jpg"
ac24,StJamesRegister11,marriage banns page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4108,24,StJames_item,"/img/derivatives/iiif/images/ac24/full/250,/0/default.jpg",/img/derivatives/iiif/ac24/manifest.json,"/img/derivatives/iiif/images/ac24/full/1140,/0/default.jpg"
ac25,StJamesRegister12,marriage banns page,marriage record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4109,25,StJames_item,"/img/derivatives/iiif/images/ac25/full/250,/0/default.jpg",/img/derivatives/iiif/ac25/manifest.json,"/img/derivatives/iiif/images/ac25/full/1140,/0/default.jpg"
ac26,StJamesRegister13,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4110,26,StJames_item,"/img/derivatives/iiif/images/ac26/full/250,/0/default.jpg",/img/derivatives/iiif/ac26/manifest.json,"/img/derivatives/iiif/images/ac26/full/1140,/0/default.jpg"
ac27,StJamesRegister14,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4111,27,StJames_item,"/img/derivatives/iiif/images/ac27/full/250,/0/default.jpg",/img/derivatives/iiif/ac27/manifest.json,"/img/derivatives/iiif/images/ac27/full/1140,/0/default.jpg"
ac28,StJamesRegister15,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4112,28,StJames_item,"/img/derivatives/iiif/images/ac28/full/250,/0/default.jpg",/img/derivatives/iiif/ac28/manifest.json,"/img/derivatives/iiif/images/ac28/full/1140,/0/default.jpg"
ac29,StJamesRegister16,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4113,29,StJames_item,"/img/derivatives/iiif/images/ac29/full/250,/0/default.jpg",/img/derivatives/iiif/ac29/manifest.json,"/img/derivatives/iiif/images/ac29/full/1140,/0/default.jpg"
ac30,StJamesRegister17,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4114,30,StJames_item,"/img/derivatives/iiif/images/ac30/full/250,/0/default.jpg",/img/derivatives/iiif/ac30/manifest.json,"/img/derivatives/iiif/images/ac30/full/1140,/0/default.jpg"
ac31,StJamesRegister18,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4115,31,StJames_item,"/img/derivatives/iiif/images/ac31/full/250,/0/default.jpg",/img/derivatives/iiif/ac31/manifest.json,"/img/derivatives/iiif/images/ac31/full/1140,/0/default.jpg"
ac32,StJamesRegister19,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4116,32,StJames_item,"/img/derivatives/iiif/images/ac32/full/250,/0/default.jpg",/img/derivatives/iiif/ac32/manifest.json,"/img/derivatives/iiif/images/ac32/full/1140,/0/default.jpg"
ac33,StJamesRegister20,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4117,33,StJames_item,"/img/derivatives/iiif/images/ac33/full/250,/0/default.jpg",/img/derivatives/iiif/ac33/manifest.json,"/img/derivatives/iiif/images/ac33/full/1140,/0/default.jpg"
ac34,StJamesRegister21,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4118,34,StJames_item,"/img/derivatives/iiif/images/ac34/full/250,/0/default.jpg",/img/derivatives/iiif/ac34/manifest.json,"/img/derivatives/iiif/images/ac34/full/1140,/0/default.jpg"
ac35,StJamesRegister22,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4119,35,StJames_item,"/img/derivatives/iiif/images/ac35/full/250,/0/default.jpg",/img/derivatives/iiif/ac35/manifest.json,"/img/derivatives/iiif/images/ac35/full/1140,/0/default.jpg"
ac36,StJamesRegister23,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4120,36,StJames_item,"/img/derivatives/iiif/images/ac36/full/250,/0/default.jpg",/img/derivatives/iiif/ac36/manifest.json,"/img/derivatives/iiif/images/ac36/full/1140,/0/default.jpg"
ac37,StJamesRegister24,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4121,37,StJames_item,"/img/derivatives/iiif/images/ac37/full/250,/0/default.jpg",/img/derivatives/iiif/ac37/manifest.json,"/img/derivatives/iiif/images/ac37/full/1140,/0/default.jpg"
ac38,StJamesRegister25,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4122,38,StJames_item,"/img/derivatives/iiif/images/ac38/full/250,/0/default.jpg",/img/derivatives/iiif/ac38/manifest.json,"/img/derivatives/iiif/images/ac38/full/1140,/0/default.jpg"
ac39,StJamesRegister26,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4123,39,StJames_item,"/img/derivatives/iiif/images/ac39/full/250,/0/default.jpg",/img/derivatives/iiif/ac39/manifest.json,"/img/derivatives/iiif/images/ac39/full/1140,/0/default.jpg"
ac40,StJamesRegister27,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4124,40,StJames_item,"/img/derivatives/iiif/images/ac40/full/250,/0/default.jpg",/img/derivatives/iiif/ac40/manifest.json,"/img/derivatives/iiif/images/ac40/full/1140,/0/default.jpg"
